SDSS_name,objID,NL_pred,env_label
SDSS J145626.28+480035.0,1237659119862677672,0.86,V
SDSS J145558.35+490607.6,1237659120936157214,0.98,C
SDSS J121227.96+390639.3,1237664667371241537,0.96,F
SDSS J100807.13+301942.5,1237664869217075255,0.98,F
SDSS J140253.49+085329.6,1237662237477568671,0.89,F
SDSS J151619.14+070944.4,1237662237485564192,0.92,C
SDSS J162647.29+330451.3,1237662501082955990,0.86,
SDSS J165220.04+235437.0,1237662503764034063,0.97,
SDSS J154951.84+304150.9,1237662640655892761,0.93,
SDSS J160433.46+235015.6,1237662698112090273,0.92,
SDSS J111133.86+025727.3,1237651754541908172,0.97,F
SDSS J104030.69+355326.9,1237664339320897708,0.94,F
SDSS J114533.81+343408.1,1237665024901972003,0.97,F
SDSS J114429.46+330321.2,1237665331459719291,0.93,Sh
SDSS J075617.10+143609.6,1237667108496933522,0.93,
SDSS J121322.18+283039.5,1237667324330115100,0.97,Sh
SDSS J105334.89+233534.4,1237667538012930119,0.95,Sh
SDSS J083513.68+475344.6,1237654391644618779,0.99,F
SDSS J091316.35+312130.4,1237661382232375408,0.91,V
SDSS J152503.24+481141.6,1237661388147196050,0.92,C
SDSS J141827.97+125259.0,1237662529529511944,0.9,Sh
SDSS J092206.20+035350.1,1237654605854081247,0.88,V
SDSS J160129.05+224745.3,1237662696501412259,0.93,
SDSS J094657.98+115213.8,1237664131548774545,0.9,Sh
SDSS J125509.24+391211.2,1237664294219612195,0.94,Sh
SDSS J093626.20+314814.5,1237664667893956667,0.99,F
SDSS J093630.99+271227.7,1237665127454605553,0.91,Sh
SDSS J154123.90+200231.4,1237665428643184819,0.89,
SDSS J142522.80+262755.3,1237665429171863779,0.95,F
SDSS J125856.09+282749.0,1237665440442024035,0.96,F
SDSS J134835.09+253949.2,1237665531709096230,0.98,C
SDSS J152505.22+195005.3,1237665549433438459,0.87,Sh
SDSS J091311.83+244121.8,1237667113868918886,0.93,Sh
SDSS J105306.02+283412.0,1237667254544367748,0.99,F
SDSS J113037.58+034523.8,1237655123930316917,0.99,F
SDSS J104347.40+103230.4,1237661948633612331,0.98,C
SDSS J144913.78+094226.4,1237662198818144438,0.99,C
SDSS J110528.50+374440.6,1237662224061104203,0.98,C
SDSS J134234.82+600742.6,1237655463773143164,0.98,
SDSS J122932.79+111255.9,1237662239078088786,0.95,Sh
SDSS J150228.76+285815.6,1237662695958183997,0.96,C
SDSS J013927.34+000219.5,1237663784208302210,0.94,
SDSS J103349.98+125242.0,1237664131016949874,0.97,V
SDSS J130510.15+152606.6,1237664291543777433,0.88,F
SDSS J121254.41+313052.3,1237665225694183554,0.85,Sh
SDSS J111308.07+275859.9,1237667252935655539,0.98,F
SDSS J131052.53+245155.3,1237667447808655501,0.94,F
SDSS J215122.17+111933.2,1237656241158291953,0.91,
SDSS J142637.19+112413.5,1237661950805016790,0.98,F
SDSS J120245.62+390546.5,1237662224066019420,0.89,C
SDSS J142437.52+345059.2,1237662224078536849,0.98,C
SDSS J161849.84+222719.1,1237662224627532173,0.95,
SDSS J151116.96+043834.4,1237662266463486174,0.98,C
SDSS J132125.68+144343.0,1237664291008675940,0.85,F
SDSS J133402.76+143614.8,1237664291009986867,0.89,F
SDSS J135323.67+230255.3,1237665566067589284,0.98,F
SDSS J105500.65+293235.8,1237667255618371751,0.97,Sh
SDSS J112202.06+255515.2,1237667322177585279,0.88,F
SDSS J145057.54+063600.1,1237662268608676033,0.93,F
SDSS J142554.66+163757.0,1237668271367520481,0.94,C
SDSS J145058.17+160622.8,1237668298219847857,0.97,F
SDSS J130052.56+403504.4,1237662226218352719,0.98,F
SDSS J011057.41+003803.2,1237663204921901182,0.98,
SDSS J094841.18+342300.5,1237664669506011341,0.95,F
SDSS J092759.45+261928.1,1237665127453687922,0.97,F
SDSS J151008.79+460616.8,1237659119327117329,0.95,Sh
SDSS J161555.31+151745.5,1237665532261695757,0.95,
SDSS J144345.20+181218.9,1237667782312722511,0.95,Sh
SDSS J145346.79+185735.7,1237667783924252863,0.96,C
SDSS J132507.20+155025.3,1237668623019278497,0.96,F
SDSS J153626.77+475117.3,1237659324950118490,0.99,V
SDSS J104124.18+130934.6,1237664131017736382,0.98,Sh
SDSS J163501.14+130646.2,1237665440464961840,0.97,
SDSS J162453.30+182313.8,1237665537617953014,0.9,
SDSS J094803.02+213751.9,1237667292118974689,0.99,F
SDSS J094759.57+215709.9,1237667292655910960,0.94,F
SDSS J125651.17+265355.9,1237667322723696789,0.99,C
SDSS J093731.01+193521.7,1237667538005000329,0.99,V
SDSS J120404.32+065430.5,1237671127518740623,0.89,F
SDSS J091015.47+490934.6,1237655107828514932,0.94,F
SDSS J095713.70+410616.4,1237660343401119920,0.95,Sh
SDSS J155534.07+423646.9,1237661387076796545,0.85,
SDSS J122059.60+460701.6,1237661852543221890,0.91,Sh
SDSS J142256.52+402501.7,1237661872413606266,0.98,F
SDSS J144153.00+104454.9,1237662199891034282,0.98,C
SDSS J145430.06+101910.2,1237662199892410379,0.87,Sh
SDSS J155012.01+355836.8,1237662474228203824,0.89,
SDSS J095534.17+683706.0,1237663787964760224,0.95,
SDSS J132451.67+133452.5,1237664289398456365,0.92,F
SDSS J125913.12+355119.2,1237664671641960557,0.87,F
SDSS J160640.88+171130.4,1237665533334257819,0.89,
SDSS J130528.82+400646.9,1237664295831011627,0.9,F
SDSS J111008.21+352520.9,1237664337175904437,0.9,Sh
SDSS J153825.24+241641.2,1237665102219444340,0.99,Sh
SDSS J163647.05+254827.0,1237661464919015915,0.98,
SDSS J123511.78+340719.9,1237665127471579205,0.97,F
SDSS J084610.13+192113.9,1237667254531129554,0.94,Sh
SDSS J114414.45+304615.8,1237667255623090335,0.97,Sh
SDSS J122955.01+310414.0,1237667255627350101,0.98,C
SDSS J122350.58+281158.1,1237667444045185045,0.95,F
SDSS J132804.05+215416.6,1237667735589486728,0.95,V
SDSS J114417.20+201323.9,1237668294449627155,0.96,C
SDSS J135417.62+192518.6,1237668299287560293,0.97,F
SDSS J105350.53+165059.2,1237668496313548897,0.86,F
SDSS J214033.78+045357.1,1237669696757694787,0.98,
SDSS J014308.10-085928.9,1237670956788809902,0.96,
SDSS J090140.93+110458.6,1237671260662661265,0.98,V
SDSS J103702.71+623131.5,1237651250957058230,0.99,
SDSS J132725.84+115048.7,1237671992947310615,0.96,C
SDSS J134738.44+032002.8,1237674602676289826,0.99,F
SDSS J214129.91+005340.8,1237678595927834701,0.96,
SDSS J230242.70+201916.9,1237680270967701780,0.97,
SDSS J113923.10+662114.3,1237651271898759321,0.92,
SDSS J120456.25+211425.7,1237667781222596633,0.86,C
SDSS J121317.80+213915.6,1237667781760319656,0.97,F
SDSS J115905.46+245920.2,1237667911664926765,0.99,Sh
SDSS J144322.25+010553.2,1237651735237951758,0.96,Sh
SDSS J114016.98+174340.3,1237668496318398520,0.88,Sh
SDSS J231004.72+301327.4,1237680472834048073,0.99,
SDSS J104351.09+212806.0,1237667736109711512,0.94,F
SDSS J150530.60+030514.6,1237651821640220816,0.97,F
SDSS J113523.13+201842.5,1237667916489490658,0.97,F
SDSS J085624.09+131056.1,1237670596015751434,0.86,V
SDSS J112513.26+322022.0,1237665330921078933,0.91,F
SDSS J140203.59+263749.3,1237665427559022786,0.89,Sh
SDSS J134704.57+245947.3,1237665548349538427,0.94,C
SDSS J140211.03+251935.3,1237665549424722005,0.92,F
SDSS J075209.95+380108.2,1237653588480164352,0.86,
SDSS J103737.70+255658.0,1237667431175487616,0.99,F
SDSS J080830.63+191230.4,1237673808118481283,0.87,
SDSS J092207.67+182002.8,1237667485920198874,0.92,C
SDSS J083307.60+093443.9,1237671123757629815,0.94,F
SDSS J102422.21+142937.0,1237671260134703197,0.95,C
SDSS J120551.26+242120.5,1237667446728425596,0.99,F
SDSS J085254.99+030908.4,1237654601556033873,0.87,V
SDSS J114505.89+202616.4,1237667916490539153,0.99,C
SDSS J120550.07+202837.1,1237668298739548224,0.96,C
SDSS J120248.44+204852.7,1237668299276091481,0.97,C
SDSS J140647.05+150229.2,1237668348671492256,0.99,Sh
SDSS J161625.06+271446.1,1237662620263579953,1.0,
SDSS J235706.40+295020.8,1237663233378025755,0.98,
SDSS J121953.70+392759.4,1237664667908702348,0.94,Sh
SDSS J110229.60+384311.8,1237664668975890643,0.99,F
SDSS J083401.42+221215.9,1237664835389948124,0.99,F
SDSS J154143.35+231213.3,1237665374404870351,0.91,
SDSS J130821.63+291342.3,1237665441516617769,0.98,C
SDSS J142805.10+254949.6,1237665441524482313,0.96,F
SDSS J151303.16+220233.4,1237665533328294108,0.95,F
SDSS J011002.51+133850.8,1237666215143342135,0.99,
SDSS J075654.19+143827.8,1237667255599300794,0.99,
SDSS J135813.12+173151.8,1237668297140600860,0.94,F
SDSS J111533.29+172944.1,1237668586506616882,0.94,F
SDSS J083408.75+115916.3,1237670965917385030,0.98,F
SDSS J215953.37+133447.4,1237678600218738998,0.95,
SDSS J091106.11+130717.8,1237671125372567599,0.97,F
SDSS J131523.60+125342.2,1237671955902693480,0.87,F
SDSS J102733.56+042800.3,1237654601566388473,0.92,Sh
SDSS J075322.75+361627.7,1237654654171152624,0.9,
SDSS J143052.86+031608.2,1237654879127666791,0.98,F
SDSS J095228.10+424908.8,1237657873257922697,0.98,F
SDSS J154903.97+023142.1,1237655470213366069,0.96,
SDSS J082201.90+042333.2,1237658300056535508,0.95,V
SDSS J125926.07+590106.4,1237658311332659359,0.88,F
SDSS J102733.39+095413.6,1237660585520070729,0.91,C
SDSS J164106.56+460014.6,1237651715335716958,0.88,
SDSS J112524.81+045447.8,1237655125540405323,0.99,F
SDSS J103429.71+594705.3,1237655369819291682,0.92,F
SDSS J103845.44+523921.6,1237657590853664952,0.98,Sh
SDSS J114807.65+550118.9,1237657590858252461,0.97,C
SDSS J113132.80+495127.0,1237658613592686691,0.87,Sh
SDSS J165638.51+270310.6,1237659119876374954,0.89,
SDSS J120844.22-003227.0,1237648720694804620,0.95,
SDSS J005450.89+151641.2,1237649920575799438,0.98,
SDSS J100932.57-001414.5,1237651800698257716,0.95,
SDSS J213337.41-070938.2,1237652600102977795,0.97,
SDSS J012358.45-094957.7,1237652616740536497,0.89,
SDSS J111334.94+600730.3,1237658304891715674,0.98,
SDSS J232326.69+140753.9,1237652942634549470,0.98,
SDSS J100654.66-011359.1,1237654668662603963,0.94,
SDSS J143619.10+033734.7,1237654879665127522,0.97,F
SDSS J163349.61+391547.5,1237655373036912774,0.96,
SDSS J121222.64+084636.1,1237658491206959194,0.94,Sh
SDSS J110037.27+102613.8,1237658493883580478,0.98,C
SDSS J101240.74+390615.1,1237660771809624268,0.92,C
SDSS J091345.39+345014.3,1237660962402861130,0.98,C
SDSS J101000.24+115459.6,1237661068712476729,0.86,F
SDSS J212536.30-071838.4,1237652599565254825,0.99,
SDSS J005247.40-101200.3,1237652629641101418,0.99,
SDSS J125146.18+610813.5,1237655463233519709,0.99,
SDSS J235129.12+140406.1,1237656494575911063,0.99,
SDSS J121722.45+533323.4,1237657858221670526,0.91,F
SDSS J151449.06+464045.7,1237659133286285390,0.86,V
SDSS J143422.06+552128.8,1237659149921222738,0.95,Sh
SDSS J172952.39+564934.6,1237659896174018833,0.98,
SDSS J033652.63+010153.0,1237660241926160519,0.97,
SDSS J092809.10+081412.4,1237661063876051118,0.92,Sh
SDSS J161427.78+295825.8,1237661464916197674,0.97,
SDSS J131208.85+451040.0,1237661874018189475,0.92,C
SDSS J114453.56+114459.2,1237661949177036891,0.98,F
SDSS J080701.66+454229.3,1237651192427905291,0.98,
SDSS J170222.42+610959.5,1237651225170870403,0.99,
SDSS J113109.68+671410.0,1237651272972238902,0.9,
SDSS J113515.94+013819.3,1237651752933851291,0.98,V
SDSS J112933.31+471250.1,1237660636000420013,0.91,F
SDSS J090311.17+450231.4,1237657770167828698,0.98,C
SDSS J130624.52+485744.4,1237658203977941175,0.98,F
SDSS J133031.70+582032.5,1237658311334494363,0.97,Sh
SDSS J122055.09+110031.9,1237658493892231254,0.98,Sh
SDSS J154015.94+472545.5,1237659324950446332,0.94,
SDSS J090640.15+063344.6,1237660412112470297,0.97,F
SDSS J140821.55+551805.3,1237661388141166646,0.86,C
SDSS J110759.60+024314.6,1237654030326563014,0.86,C
SDSS J074228.98+310555.8,1237654652558180789,0.87,
SDSS J101058.46-004813.9,1237654669199933583,0.92,
SDSS J160024.08+525358.3,1237654948377329709,0.98,
SDSS J114537.84+621413.5,1237655464840724589,0.95,
SDSS J095034.06+482906.5,1237657590312992946,0.99,F
SDSS J091820.49+410154.7,1237657627904376984,0.97,F
SDSS J102713.35+481441.1,1237657628447473764,0.86,F
SDSS J121618.74+094449.2,1237658492281094291,0.98,Sh
SDSS J110610.46+481604.0,1237658612517044297,0.95,F
SDSS J115012.48+533957.3,1237658800425468034,0.98,F
SDSS J110643.94+665109.5,1237651539246055429,0.98,
SDSS J104941.28+601735.7,1237653617471520969,0.93,
SDSS J133823.75+572002.0,1237655106771943493,0.95,F
SDSS J112944.39+054817.5,1237655126614605890,0.93,Sh
SDSS J133253.11-011531.1,1237655500274860158,0.98,
SDSS J142409.05+061127.5,1237655743478104176,0.87,F
SDSS J143318.50+064549.2,1237655744552829079,0.97,Sh
SDSS J230748.86-085700.7,1237656539127939216,0.99,
SDSS J075943.03+261114.5,1237658191607693659,0.97,
SDSS J142408.69+443343.0,1237658203447230614,0.97,V
SDSS J102359.78+062907.4,1237658423552114802,0.89,F
SDSS J135945.21-030257.6,1237655493834899638,0.91,
SDSS J172508.37+584552.9,1237659896173101460,0.96,
SDSS J090011.05+074333.9,1237660669809197290,0.96,Sh
SDSS J084002.36+294902.6,1237660961862189211,0.96,Sh
SDSS J100540.38+093512.4,1237661063880179720,0.93,F
SDSS J081341.07+220413.0,1237661085344858493,0.94,
SDSS J121752.43-002143.6,1237648704040665238,0.97,
SDSS J131408.61-002627.9,1237651203157721163,0.96,
SDSS J085025.48+552322.2,1237651272425734160,0.93,F
SDSS J073213.99+380848.6,1237651496827682897,0.99,
SDSS J132106.27+021658.5,1237651736302715073,0.85,V
SDSS J034626.96-063152.5,1237652900235771982,0.99,
SDSS J230911.62+132710.9,1237652942096171223,0.97,
SDSS J131408.25+621233.9,1237655370364551289,0.86,
SDSS J115644.26+620626.1,1237655464304378007,0.96,
SDSS J075201.44+440059.9,1237651496293826856,0.98,
SDSS J100514.38+463903.2,1237657856064618589,0.96,F
SDSS J105225.71+083327.3,1237658491735179378,0.97,F
SDSS J155823.96+545551.8,1237651539261391086,0.97,
SDSS J130210.14+032600.7,1237651755090837564,0.87,C
SDSS J013126.64+141639.0,1237653651844628666,0.91,
SDSS J105149.13+034645.8,1237654604253233397,0.97,F
SDSS J171405.72+331820.9,1237655130918879555,0.96,
SDSS J152721.92+040035.5,1237655742411309318,0.99,C
SDSS J090146.31+383612.0,1237658201275564332,0.99,F
SDSS J110102.71+445317.7,1237660634387447942,0.96,Sh
SDSS J150557.07+381640.0,1237661433248350319,0.9,Sh
SDSS J133229.65+124902.6,1237661818175422469,0.99,F
SDSS J163041.34+443048.5,1237651250979340465,0.88,
SDSS J133706.47+002204.7,1237651504880615503,0.95,F
SDSS J012315.84-090141.2,1237652901293981721,0.98,
SDSS J104827.34+044931.7,1237654605863518421,0.9,F
SDSS J143710.58+040354.2,1237654880202064005,0.97,C
SDSS J120925.95+603111.3,1237655108914249886,0.99,
SDSS J163035.42+403724.2,1237655373573193957,0.92,
SDSS J092401.09+051233.8,1237658423545561106,0.86,Sh
