SDSS_name,objID,L_pred
SDSS J144639.15+210338.4,1237667968030670873,0.96
SDSS J145938.26+131253.7,1237668349213999390,0.98
SDSS J103456.78+152837.1,1237668495237709875,0.96
SDSS J080341.69+073321.0,1237671123754287520,0.97
SDSS J105831.74+103417.7,1237671932819996737,0.87
SDSS J225258.56+010833.8,1237678617410470237,0.91
SDSS J011437.36+011053.4,1237678617426001986,0.97
SDSS J012109.32+154140.9,1237679167157239965,0.99
SDSS J022402.64-044136.2,1237679322861797379,0.95
SDSS J092158.28+165723.8,1237667783353172176,0.98
SDSS J130615.12+252737.9,1237667912745287745,0.98
SDSS J112135.68+182730.8,1237667914340565012,0.99
SDSS J150019.18+122736.5,1237668348140388418,0.98
SDSS J153339.20+145031.5,1237668365848150281,0.85
SDSS J112138.37+160153.4,1237668584359723105,0.98
SDSS J101236.82+615635.4,1237668672400785526,0.94
SDSS J142340.82+535456.6,1237661418213277803,0.88
SDSS J093828.59+133242.7,1237671124301709518,0.86
SDSS J074016.26+321530.0,1237674365917921288,0.98
SDSS J093826.23+051222.8,1237674460417556677,0.92
SDSS J141709.38+631824.9,1237674477049020523,0.86
SDSS J141302.55+000846.9,1237648704590184554,0.93
SDSS J085434.61+534721.4,1237651251486916690,0.99
SDSS J133647.93+010914.0,1237651505954357375,0.99
SDSS J034511.70-063425.9,1237652900235640958,0.99
SDSS J131810.07-011437.2,1237648702973542469,0.98
SDSS J013924.88-092404.2,1237652900758814841,0.94
SDSS J143907.14+003031.0,1237648705129873672,0.98
SDSS J081030.06+390819.4,1237654653099311304,0.97
SDSS J090655.82+494623.4,1237655108902191396,0.98
SDSS J133642.56+620337.2,1237655465920102501,0.96
SDSS J153705.01-014958.8,1237655498677813643,0.94
SDSS J153854.88+043459.1,1237655743486230670,0.99
SDSS J151949.18+054748.3,1237655744557875300,0.97
SDSS J082007.81+372839.6,1237657594076659965,0.93
SDSS J082840.35+385720.6,1237657606962282614,0.98
SDSS J113524.80+573859.8,1237657612875399210,0.94
SDSS J095441.38+462216.8,1237657856600703123,0.9
SDSS J101819.70+070257.7,1237658300069249037,0.99
SDSS J120003.71+093900.4,1237658492279324827,0.95
SDSS J113854.06+550327.8,1237658802572296417,0.95
SDSS J164434.40+323429.4,1237659162816675912,0.96
SDSS J082856.24+274448.5,1237660764299460627,0.98
SDSS J140517.49+460844.3,1237661150309515472,0.87
SDSS J133602.58+661809.1,1237651538715541681,0.9
SDSS J142553.88+025226.8,1237651737383534789,0.93
SDSS J140955.62+012836.4,1237651752950825059,0.97
SDSS J140953.80+043435.4,1237651822707867749,0.99
SDSS J215311.30-073533.5,1237652935648477420,0.9
SDSS J230046.20+133707.9,1237652942632124708,0.99
SDSS J231736.39+140004.3,1237652942633959447,0.99
SDSS J085900.33+523413.1,1237653614794178781,0.95
SDSS J145755.38+034614.9,1237654880204292401,0.96
SDSS J163441.61+462331.5,1237654953203400808,0.99
SDSS J162241.48+495357.0,1237654953738502469,0.92
SDSS J161101.21+494743.3,1237655130373161135,0.98
SDSS J152938.02+023338.6,1237655470211268640,0.86
SDSS J212657.85-070117.5,1237652600102257002,0.98
SDSS J133604.64-013530.6,1237655499738317056,0.97
SDSS J143101.07+055842.3,1237655743478825053,0.95
SDSS J213256.25+112258.0,1237656495634776766,0.97
SDSS J012455.21+001241.7,1237656512815890469,0.97
SDSS J230913.74-005634.1,1237656906349543441,0.98
SDSS J090758.30+414232.1,1237657630051336274,0.99
