SDSS_name,objID,S_pred
SDSS J131851.23+372132.8,1237664854175187131,0.72
SDSS J140103.97+293132.0,1237665329861886125,0.55
SDSS J110610.76+313654.9,1237665330919243882,0.84
SDSS J114542.32+330915.9,1237665331459850338,0.83
SDSS J160029.17+185106.9,1237665534931239206,0.77
SDSS J155027.92+410438.4,1237659119867855011,0.75
SDSS J121309.04+161749.1,1237668588648595513,0.54
SDSS J093431.56+462741.7,1237657400810471527,0.77
SDSS J143319.69+090509.4,1237662238554587154,0.75
SDSS J144551.67+360843.3,1237662306191999044,0.83
SDSS J140354.44+124456.0,1237662528991068240,0.57
SDSS J102357.90+124110.5,1237664105244328218,0.66
SDSS J135510.41+311651.7,1237665331471777930,0.67
SDSS J135508.20+283014.1,1237665429705720018,0.64
SDSS J150214.29+182928.7,1237665565001187452,0.68
SDSS J144007.59+215202.6,1237667912754790651,0.65
SDSS J082852.66+581214.0,1237663916269109336,0.58
SDSS J081044.15+214917.7,1237664093969580411,0.74
SDSS J104712.62+352009.7,1237664338247680084,0.51
SDSS J110255.04+325235.0,1237665015775821943,0.59
SDSS J102047.04+321204.3,1237665129606807642,0.67
SDSS J110257.52+312333.7,1237665369043173490,0.81
SDSS J215910.34-080431.2,1237666210347876699,0.51
SDSS J215917.94-065946.9,1237666211421421816,0.58
SDSS J104536.32+274937.4,1237667254006710456,0.84
SDSS J133752.61+154316.6,1237668348668412000,0.8
SDSS J014506.83-085719.2,1237670956789071934,0.72
SDSS J094152.73+132924.9,1237671261203988483,0.73
SDSS J020824.98+142058.4,1237670961081483337,0.56
SDSS J073453.54+394550.6,1237673703966966241,0.57
SDSS J095007.19+124446.0,1237664106851336600,0.78
SDSS J105030.39+330846.3,1237665016848449699,0.52
SDSS J114047.08+275355.0,1237667431181713523,0.64
SDSS J124519.24-004537.6,1237648703506808952,0.61
SDSS J015442.71-094658.5,1237670955716313142,0.51
SDSS J145003.72+000550.9,1237648704594182574,0.81
SDSS J113833.27-011104.1,1237674648852627562,0.51
SDSS J011540.64+011152.6,1237678617426133013,0.58
SDSS J134759.11+190316.4,1237668272437199076,0.72
SDSS J115101.10+202357.5,1237668294450282607,0.52
SDSS J141415.98+243852.9,1237665549425967170,0.63
SDSS J122258.00+282938.9,1237667324331032619,0.62
SDSS J114352.67+261211.0,1237667429034426523,0.61
SDSS J122321.87+663551.0,1237651537638654106,0.68
SDSS J134636.43+224139.2,1237667910601932864,0.57
SDSS J161739.49+102145.7,1237668271916581016,0.51
SDSS J120144.31+175355.9,1237668496320626824,0.8
SDSS J093521.76+133255.7,1237671124301381682,0.59
SDSS J091806.35+132820.3,1237671125373288698,0.65
SDSS J004730.25+160812.9,1237679167153700927,0.71
SDSS J090831.89+620833.5,1237663531337973846,0.81
SDSS J112006.41+351546.0,1237665026510356613,0.66
SDSS J003156.76-110056.9,1237652946381635654,0.6
SDSS J155221.94+162739.2,1237665567153913942,0.78
SDSS J124058.08+275852.2,1237667323795931146,0.67
SDSS J101550.49+203902.7,1237667536398319728,0.78
SDSS J074525.59+235922.8,1237657878612672935,0.53
SDSS J125510.66+641552.3,1237654875362033725,0.84
SDSS J032325.86-003419.0,1237666300018950338,0.71
SDSS J102715.60+214941.8,1237667549804953607,0.65
SDSS J114218.12+195015.9,1237668293912559694,0.58
SDSS J142756.78+162321.6,1237668297143746761,0.63
SDSS J095853.32+152247.7,1237671125377744934,0.6
SDSS J142847.42+134916.3,1237668348136980813,0.81
SDSS J022139.24-034359.3,1237679323935277145,0.52
SDSS J115528.39+345758.0,1237665128541782127,0.77
SDSS J082347.86+175926.5,1237667142323798373,0.59
SDSS J080504.19+294321.7,1237657774999404578,0.56
SDSS J095017.81+132210.8,1237671123229212676,0.61
SDSS J133844.06+042732.4,1237671958054568115,0.75
SDSS J002534.40+005048.7,1237678434327986256,0.55
SDSS J113111.65+514153.0,1237657856607977524,0.54
SDSS J004955.62-001215.3,1237657190910656584,0.64
SDSS J092622.42+481000.7,1237657770170056796,0.57
SDSS J133952.49+522311.5,1237659131131658342,0.55
SDSS J100758.34+682153.6,1237663786891411640,0.57
SDSS J133947.36+334011.8,1237665025449197729,0.81
SDSS J162838.23+393304.5,1237659326029365299,0.8
SDSS J162842.26+400726.0,1237659326566039612,0.64
SDSS J102706.52+214011.3,1237667536936370380,0.77
SDSS J083253.74+035012.6,1237658298983907865,0.54
SDSS J103620.67+210122.0,1237667783361101843,0.62
SDSS J121005.75+201256.1,1237667915956224063,0.78
SDSS J162813.26+394901.4,1237659330852093967,0.84
SDSS J120840.37+175723.9,1237668496321347673,0.69
SDSS J110831.42+163524.9,1237668585432154234,0.63
SDSS J014404.18-090155.8,1237670956788940908,0.51
SDSS J092926.68+132905.9,1237671261739548895,0.78
SDSS J124240.72+012044.5,1237671267107864815,0.51
SDSS J103700.68+284956.0,1237665367429939295,0.7
SDSS J092040.31+250628.1,1237667143404093580,0.82
SDSS J161223.62+351029.8,1237662500544512216,0.58
SDSS J104339.07+120338.3,1237660670894211210,0.67
SDSS J124426.19+370716.3,1237664672714391590,0.55
SDSS J141759.54+250812.7,1237665532785786979,0.51
SDSS J082959.77+310207.8,1237660344466014448,0.56
SDSS J025414.55+010144.9,1237678437018042438,0.55
SDSS J162814.01+401849.8,1237659326565908904,0.75
SDSS J121511.35+543801.4,1237658801500848137,0.81
SDSS J091924.78+570542.2,1237651191898046587,0.84
SDSS J122323.52+463630.7,1237661433234849937,0.7
